"","SG_PARTIDO","DT_PAGAMENTO","VR_PAGAMENTO"
"1","AVANTE","02/05/2018",4695
"2","AVANTE","03/05/2018",2495
"3","AVANTE","12/04/2018",4695
"4","AVANTE","12/11/2018",2647
"5","AVANTE","16/11/2018",4184
"6","AVANTE","25/07/2018",120192
"7","AVANTE","26/07/2018",34743
"8","AVANTE","27/07/2018",944
"9","AVANTE","29/08/2018",945
"10","AVANTE","30/07/2018",2255
"11","AVANTE","30/08/2018",2403
"12","AVANTE","31/12/2018",2535
"13","DEM","01/01/2018",252
"14","DEM","01/03/2018",2511
"15","DEM","01/06/2018",5241
"16","DEM","01/08/2018",5497
"17","DEM","01/10/2018",1044
"18","DEM","02/03/2018",293
"19","DEM","02/05/2018",6288
"20","DEM","02/07/2018",911
"21","DEM","02/10/2018",4237
"22","DEM","03/01/2018",2633
"23","DEM","03/04/2018",2245
"24","DEM","03/07/2018",4009
"25","DEM","03/08/2018",2184
"26","DEM","03/09/2018",8875
"27","DEM","03/10/2018",10216
"28","DEM","04/01/2018",1274
"29","DEM","04/04/2018",3662
"30","DEM","04/05/2018",2344
"31","DEM","04/06/2018",6796
"32","DEM","04/10/2018",1912
"33","DEM","04/12/2018",1528
"34","DEM","05/02/2018",533
"35","DEM","05/03/2018",533
"36","DEM","05/04/2018",9792
"37","DEM","05/06/2018",533
"38","DEM","05/07/2018",1069
"39","DEM","05/09/2018",1513
"40","DEM","05/10/2018",647
"41","DEM","05/11/2018",1601
"42","DEM","05/12/2018",4769
"43","DEM","06/02/2018",1766
"44","DEM","06/04/2018",318
"45","DEM","06/07/2018",3578
"46","DEM","06/08/2018",6179
"47","DEM","06/09/2018",33
"48","DEM","06/11/2018",596
"49","DEM","06/12/2018",2210
"50","DEM","07/05/2018",9864
"51","DEM","07/06/2018",3525
"52","DEM","08/01/2018",5038
"53","DEM","08/02/2018",1730
"54","DEM","08/03/2018",687
"55","DEM","08/06/2018",1846
"56","DEM","08/08/2018",377
"57","DEM","08/10/2018",3698
"58","DEM","08/11/2018",9408
"59","DEM","09/02/2018",845
"60","DEM","09/03/2018",3173
"61","DEM","09/04/2018",4055
"62","DEM","09/05/2018",1226
"63","DEM","09/08/2018",2378
"64","DEM","10/04/2018",5605
"65","DEM","10/05/2018",7762
"66","DEM","10/08/2018",1950
"67","DEM","10/09/2018",1080
"68","DEM","10/10/2018",637
"69","DEM","10/12/2018",886
"70","DEM","11/04/2018",5855
"71","DEM","11/05/2018",3544
"72","DEM","11/06/2018",4162
"73","DEM","11/07/2018",5820
"74","DEM","11/09/2018",959
"75","DEM","11/10/2018",2883
"76","DEM","11/12/2018",9471
"77","DEM","12/04/2018",4725
"78","DEM","12/06/2018",1392
"79","DEM","12/07/2018",3161
"80","DEM","13/03/2018",2776
"81","DEM","13/04/2018",3896
"82","DEM","13/06/2018",3599
"83","DEM","13/07/2018",6464
"84","DEM","13/08/2018",2509
"85","DEM","13/11/2018",4259
"86","DEM","13/12/2018",2138
"87","DEM","14/02/2018",56
"88","DEM","14/03/2018",6453
"89","DEM","14/09/2018",3216
"90","DEM","15/02/2018",4991
"91","DEM","15/03/2018",2632
"92","DEM","15/05/2018",5717
"93","DEM","15/06/2018",2467
"94","DEM","16/01/2018",1811
"95","DEM","16/02/2018",1669
"96","DEM","16/04/2018",3686
"97","DEM","16/05/2018",9027
"98","DEM","16/08/2018",4625
"99","DEM","16/10/2018",1752
"100","DEM","17/04/2018",14846
"101","DEM","17/08/2018",994
"102","DEM","17/09/2018",3894
"103","DEM","17/12/2018",7760
"104","DEM","18/01/2018",7890
"105","DEM","18/04/2018",2549
"106","DEM","18/05/2018",703
"107","DEM","18/06/2018",2682
"108","DEM","18/07/2018",5478
"109","DEM","18/12/2018",293
"110","DEM","19/01/2018",2432
"111","DEM","19/04/2018",8517
"112","DEM","19/06/2018",489
"113","DEM","19/07/2018",3714
"114","DEM","19/10/2018",1578
"115","DEM","20/02/2018",489
"116","DEM","20/03/2018",3525
"117","DEM","20/04/2018",9390
"118","DEM","20/06/2018",12988
"119","DEM","20/07/2018",914
"120","DEM","20/08/2018",20256
"121","DEM","20/09/2018",2502
"122","DEM","20/12/2018",3835
"123","DEM","21/03/2018",3049
"124","DEM","21/05/2018",761
"125","DEM","21/06/2018",2766
"126","DEM","21/08/2018",1775
"127","DEM","21/09/2018",489
"128","DEM","22/01/2018",4906
"129","DEM","22/02/2018",4400
"130","DEM","22/04/2018",489
"131","DEM","22/05/2018",2829
"132","DEM","22/08/2018",3691
"133","DEM","22/10/2018",3213
"134","DEM","22/11/2018",2329
"135","DEM","23/01/2018",1531
"136","DEM","23/05/2018",956
"137","DEM","23/07/2018",759
"138","DEM","23/08/2018",13956
"139","DEM","23/11/2018",539
"140","DEM","24/01/2018",3805
"141","DEM","24/05/2018",1714
"142","DEM","24/07/2018",12688
"143","DEM","24/09/2018",11619
"144","DEM","24/10/2018",33
"145","DEM","25/01/2018",1709
"146","DEM","25/04/2018",8446
"147","DEM","25/05/2018",2766
"148","DEM","25/06/2018",7951
"149","DEM","25/07/2018",25652
"150","DEM","25/09/2018",12246
"151","DEM","26/01/2018",11198
"152","DEM","26/02/2018",2675
"153","DEM","26/03/2018",1404
"154","DEM","26/04/2018",7390
"155","DEM","26/06/2018",11029
"156","DEM","26/07/2018",2586
"157","DEM","26/09/2018",14818
"158","DEM","26/10/2018",2910
"159","DEM","26/11/2018",1055
"160","DEM","27/02/2018",20728
"161","DEM","27/03/2018",2991
"162","DEM","27/04/2018",22429
"163","DEM","27/06/2018",318
"164","DEM","27/08/2018",2452
