"","Cod_setor","Cod_Grandes.Regiões","Nome_Grande_Regiao","Cod_UF","Nome_da_UF","Cod_meso","Nome_da_meso","Cod_micro","Nome_da_micro","Cod_RM","Nome_da_RM","Cod_municipio","Nome_do_municipio","Cod_distrito","Nome_do_distrito","Cod_subdistrito","Nome_do_subdistrito","Cod_bairro","Nome_do_bairro","Situacao_setor","Tipo_setor","V001","V002","V003","V004","V005","V006","V007","V008","V009","V010","V011","V012","X34"
"1",250970105000001,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,196,534,2.72,2.14,1066.53,4431625.52,1282.45,5055742.93,755.23,2442303.9,1075.36,3135366.13,NA
"2",250970105000002,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,219,669,3.05,2.19,969.68,2046007.3,1035.9,2117483.69,539.24,1001384.07,787.26,1267398.28,NA
"3",250970105000003,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,293,871,2.97,2.91,2345.36,12461810.37,2489.82,12871187.43,1574.65,95373783.38,2302.78,137878368.01,NA
"4",250970105000004,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,348,1055,3.03,1.82,1129.33,2431036.31,1259.64,2547773.74,650.97,1448243.83,1071.55,1934150.89,NA
"5",250970105000005,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,273,870,3.19,2.23,819.73,1175114.56,860.72,1198683.27,480.96,656330.38,679.94,792841.12,NA
"6",250970105000006,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,202,643,3.18,2.19,630,902207.17,691.63,948090.45,365.79,465973.11,610.8,628960.78,NA
"7",250970105000007,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,232,728,3.14,3.72,379.1,120294.84,410.99,117294.03,237.9,108786.84,371.27,120287.9,NA
"8",250970105000008,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,305,1032,3.38,2.82,415.86,201507.79,469.77,202308.11,253.16,152814.56,422.74,183550.61,NA
"9",250970105000009,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,192,613,3.19,1.86,708.42,1165861.3,800.1,1243844.53,403.48,544863.17,635.56,711264.4,NA
"10",250970105000010,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,193,576,2.98,1.93,977.78,3118744.15,1031.21,3234703.1,582.97,1589100.48,904.06,2175856.57,NA
