"","gender","year","cs","de","se","th","Total"
"1","F",2000,0,0,0,1,176
"2","F",2000,0,0,1,0,43
"3","F",2000,0,1,0,0,74
"4","F",2000,1,0,0,0,622
"5","F",2000,1,0,0,1,55
"6","F",2000,1,1,0,0,61
"7","F",2001,0,0,0,1,173
"8","F",2001,0,0,1,0,89
"9","F",2001,0,1,0,0,120
"10","F",2001,1,0,0,0,720
"11","F",2001,1,0,0,1,56
"12","F",2001,1,0,1,0,8
"13","F",2001,1,1,0,0,81
"14","F",2002,0,0,0,1,181
"15","F",2002,0,0,1,0,79
"16","F",2002,0,1,0,0,233
"17","F",2002,1,0,0,0,717
"18","F",2002,1,0,0,1,55
"19","F",2002,1,0,1,0,16
"20","F",2002,1,1,0,0,73
"21","F",2003,0,0,0,1,187
"22","F",2003,0,0,1,0,67
"23","F",2003,0,1,0,0,205
"24","F",2003,1,0,0,0,1008
"25","F",2003,1,0,0,1,62
"26","F",2003,1,0,1,0,9
"27","F",2003,1,1,0,0,92
"28","F",2004,0,0,0,1,286
"29","F",2004,0,0,1,0,132
"30","F",2004,0,1,0,0,333
"31","F",2004,1,0,0,0,1042
"32","F",2004,1,0,0,1,62
"33","F",2004,1,0,1,0,4
"34","F",2004,1,1,0,0,94
"35","F",2005,0,0,0,1,315
"36","F",2005,0,0,1,0,154
"37","F",2005,0,1,0,0,369
"38","F",2005,1,0,0,0,1624
"39","F",2005,1,0,0,1,59
"40","F",2005,1,0,1,0,9
"41","F",2005,1,1,0,0,128
"42","F",2006,0,0,0,1,314
"43","F",2006,0,0,1,0,123
"44","F",2006,0,1,0,0,432
"45","F",2006,1,0,0,0,1644
"46","F",2006,1,0,0,1,68
"47","F",2006,1,0,1,0,3
"48","F",2006,1,1,0,0,117
"49","F",2007,0,0,0,1,291
"50","F",2007,0,0,1,0,144
"51","F",2007,0,1,0,0,432
"52","F",2007,1,0,0,0,1960
"53","F",2007,1,0,0,1,66
"54","F",2007,1,0,1,0,7
"55","F",2007,1,1,0,0,138
"56","F",2008,0,0,0,1,306
"57","F",2008,0,0,1,0,177
"58","F",2008,0,1,0,0,494
"59","F",2008,1,0,0,0,1929
"60","F",2008,1,0,0,1,69
"61","F",2008,1,0,1,0,9
"62","F",2008,1,1,0,0,206
"63","F",2009,0,0,0,1,290
"64","F",2009,0,0,1,0,152
"65","F",2009,0,1,0,0,475
"66","F",2009,1,0,0,0,2130
"67","F",2009,1,0,0,1,66
"68","F",2009,1,0,1,0,8
"69","F",2009,1,1,0,0,229
"70","F",2010,0,0,0,1,369
"71","F",2010,0,0,1,0,152
"72","F",2010,0,1,0,0,511
"73","F",2010,1,0,0,0,2261
"74","F",2010,1,0,0,1,60
"75","F",2010,1,0,1,0,13
"76","F",2010,1,1,0,0,216
"77","F",2011,0,0,0,1,306
"78","F",2011,0,0,1,0,192
"79","F",2011,0,1,0,0,519
"80","F",2011,1,0,0,0,3031
"81","F",2011,1,0,0,1,61
"82","F",2011,1,0,1,0,10
"83","F",2011,1,1,0,0,266
"84","F",2012,0,0,0,1,331
"85","F",2012,0,0,1,0,172
"86","F",2012,0,1,0,0,473
"87","F",2012,1,0,0,0,2800
"88","F",2012,1,0,0,1,69
"89","F",2012,1,0,1,0,16
"90","F",2012,1,1,0,0,257
"91","F",2013,0,0,0,1,315
"92","F",2013,0,0,1,0,216
"93","F",2013,0,1,0,0,505
"94","F",2013,1,0,0,0,4139
"95","F",2013,1,0,0,1,74
"96","F",2013,1,1,0,0,292
"97","F",2014,0,0,0,1,372
"98","F",2014,0,0,1,0,254
"99","F",2014,0,1,0,0,581
"100","F",2014,1,0,0,0,3684
"101","F",2014,1,0,0,1,76
"102","F",2014,1,0,1,0,26
"103","F",2014,1,1,0,0,284
"104","F",2015,0,0,0,1,362
"105","F",2015,0,0,1,0,253
